gpu_type,gpu_count,containerized,molecule,scf_time,gradient_time,total_time,system,datetime
NVIDIA-GeForce-RTX-2080-Ti,4,TRUE,morphine,18.943357000,5.644376000,33.102414000,nrp,Fri Jan  5 20:40:08 2024
NVIDIA-GeForce-RTX-2080-Ti,1,TRUE,psb5,7.696691000,2.431646000,17.080108000,nrp,Fri Jan  5 20:37:25 2024
NVIDIA-GeForce-RTX-2080-Ti,2,TRUE,psb5,5.369967000,1.462785000,13.343045000,nrp,Fri Jan  5 20:37:43 2024
NVIDIA-GeForce-RTX-2080-Ti,4,TRUE,psb5,3.436436000,0.881213000,11.260383000,nrp,Fri Jan  5 20:37:57 2024
NVIDIA-GeForce-RTX-2080-Ti,1,TRUE,taxol,170.513679000,109.736870000,299.035471000,nrp,Fri Jan  5 20:40:42 2024
NVIDIA-GeForce-RTX-2080-Ti,2,TRUE,taxol,105.389149000,57.776230000,182.486821000,nrp,Fri Jan  5 20:45:41 2024
NVIDIA-GeForce-RTX-2080-Ti,4,TRUE,taxol,62.661654000,30.931286000,113.477370000,nrp,Fri Jan  5 20:48:44 2024
NVIDIA-GeForce-RTX-2080-Ti,1,TRUE,valinomycin,325.679301000,209.926850000,574.027883000,nrp,Fri Jan  5 20:50:38 2024
NVIDIA-GeForce-RTX-2080-Ti,2,TRUE,valinomycin,180.900428000,108.508234000,328.890467000,nrp,Fri Jan  5 21:00:13 2024
NVIDIA-GeForce-RTX-2080-Ti,4,TRUE,valinomycin,110.914664000,57.983648000,209.698166000,nrp,Fri Jan  5 21:05:42 2024
NVIDIA-GeForce-RTX-3090,1,TRUE,morphine,42.817785000,15.063739000,63.805441000,nrp,Sat Jan  6 02:42:32 2024
NVIDIA-GeForce-RTX-3090,2,TRUE,morphine,27.472660000,8.434100000,42.011568000,nrp,Sat Jan  6 02:43:36 2024
NVIDIA-GeForce-RTX-3090,4,TRUE,morphine,17.419296000,4.708834000,28.682131000,nrp,Sat Jan  6 02:44:19 2024
NVIDIA-GeForce-RTX-3090,1,TRUE,psb5,6.864096000,1.845150000,13.676406000,nrp,Sat Jan  6 02:41:56 2024
NVIDIA-GeForce-RTX-3090,2,TRUE,psb5,4.741630000,1.133988000,10.991560000,nrp,Sat Jan  6 02:42:10 2024
NVIDIA-GeForce-RTX-3090,4,TRUE,psb5,3.232461000,0.749656000,9.473585000,nrp,Sat Jan  6 02:42:22 2024
NVIDIA-GeForce-RTX-3090,1,TRUE,taxol,151.647275000,96.944185000,262.651704000,nrp,Sat Jan  6 02:44:48 2024
NVIDIA-GeForce-RTX-3090,2,TRUE,taxol,82.894865000,51.916692000,149.149976000,nrp,Sat Jan  6 02:49:11 2024
NVIDIA-GeForce-RTX-3090,4,TRUE,taxol,49.650468000,27.294677000,91.840638000,nrp,Sat Jan  6 02:51:41 2024
NVIDIA-GeForce-RTX-3090,1,TRUE,valinomycin,279.637902000,183.697147000,491.812873000,nrp,Sat Jan  6 02:53:13 2024
NVIDIA-GeForce-RTX-3090,2,TRUE,valinomycin,156.742697000,99.375182000,285.089302000,nrp,Sat Jan  6 03:01:25 2024
NVIDIA-GeForce-RTX-3090,4,TRUE,valinomycin,88.164403000,51.970496000,169.853968000,nrp,Sat Jan  6 03:06:11 2024
NVIDIA-GeForce-RTX-4090,1,TRUE,morphine,21.429178000,5.917251000,33.708323000,nrp,Wed Jan 10 16:50:31 2024
NVIDIA-GeForce-RTX-4090,2,TRUE,morphine,13.700272000,3.413930000,23.321316000,nrp,Wed Jan 10 16:51:05 2024
NVIDIA-GeForce-RTX-4090,4,TRUE,morphine,8.826706000,2.020289000,17.856055000,nrp,Wed Jan 10 16:51:29 2024
NVIDIA-GeForce-RTX-4090,1,TRUE,psb5,3.646097000,0.883304000,9.459527000,nrp,Wed Jan 10 16:50:03 2024
NVIDIA-GeForce-RTX-4090,2,TRUE,psb5,2.303083000,0.545032000,8.227129000,nrp,Wed Jan 10 16:50:13 2024
NVIDIA-GeForce-RTX-4090,4,TRUE,psb5,2.215010000,0.439610000,8.732145000,nrp,Wed Jan 10 16:50:21 2024
NVIDIA-GeForce-RTX-4090,1,TRUE,taxol,66.570317000,33.286316000,110.559730000,nrp,Wed Jan 10 16:51:47 2024
NVIDIA-GeForce-RTX-4090,2,TRUE,taxol,38.427943000,17.414965000,66.921447000,nrp,Wed Jan 10 16:53:38 2024
NVIDIA-GeForce-RTX-4090,4,TRUE,taxol,23.858775000,9.383595000,45.224831000,nrp,Wed Jan 10 16:54:45 2024
NVIDIA-GeForce-RTX-4090,1,TRUE,valinomycin,106.146349000,60.148365000,184.667941000,nrp,Wed Jan 10 16:55:31 2024
NVIDIA-GeForce-RTX-4090,2,TRUE,valinomycin,61.458791000,31.682195000,111.463706000,nrp,Wed Jan 10 16:58:36 2024
NVIDIA-GeForce-RTX-4090,4,TRUE,valinomycin,37.798898000,17.253654000,74.471116000,nrp,Wed Jan 10 17:00:28 2024
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,10.062680000,8.356537000,28.212260000,nrp,Thu Nov 30 16:52:37 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,6.133210000,4.616534000,20.116130000,nrp,Thu Nov 30 16:53:06 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,4.166408000,2.726876000,16.749177000,nrp,Thu Nov 30 16:53:27 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,2.152440000,1.349728000,11.582383000,nrp,Thu Nov 30 16:52:03 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,1.410701000,0.791041000,10.546495000,nrp,Thu Nov 30 16:52:15 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,1.309871000,0.584618000,10.720634000,nrp,Thu Nov 30 16:52:26 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,58.682667000,51.409130000,122.372365000,nrp,Thu Nov 30 16:53:44 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,33.481766000,26.693237000,72.919769000,nrp,Thu Nov 30 16:55:47 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,20.628191000,14.218440000,48.287645000,nrp,Thu Nov 30 16:57:00 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,116.734528000,93.193345000,227.437818000,nrp,Thu Nov 30 16:57:49 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,65.390972000,48.356928000,131.774855000,nrp,Thu Nov 30 17:01:37 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,37.616873000,25.652217000,82.288574000,nrp,Thu Nov 30 17:03:49 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,10.046227000,8.387280000,27.143843000,nrp,Fri Dec  1 20:39:32 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,6.109523000,4.621662000,19.902421000,nrp,Fri Dec  1 20:40:00 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,4.163308000,2.725532000,16.448464000,nrp,Fri Dec  1 20:40:20 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,2.202728000,1.349880000,11.443168000,nrp,Fri Dec  1 20:38:58 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,1.460144000,0.791195000,10.388633000,nrp,Fri Dec  1 20:39:10 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,1.284105000,0.587157000,10.565485000,nrp,Fri Dec  1 20:39:21 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,58.530119000,51.449317000,121.925780000,nrp,Fri Dec  1 20:40:37 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,33.479152000,26.675286000,72.814359000,nrp,Fri Dec  1 20:42:40 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,20.687252000,14.235159000,48.248636000,nrp,Fri Dec  1 20:43:53 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,117.504891000,93.101701000,227.605239000,nrp,Fri Dec  1 20:44:42 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,65.404310000,48.418399000,131.686697000,nrp,Fri Dec  1 20:48:30 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,37.768695000,25.667421000,82.297982000,nrp,Fri Dec  1 20:50:42 2023
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,water,0.447993000,,5.249875000,nrp,Wed Nov 29 22:36:04 2023
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,water,0.441071000,,5.319817000,nrp,Wed Nov 29 22:36:09 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,6.739004000,8.248163000,23.646556000,nrp,Fri Dec  1 21:57:51 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,4.268018000,4.571545000,17.971149000,nrp,Fri Dec  1 21:58:15 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,2.877793000,2.699723000,15.095308000,nrp,Fri Dec  1 21:58:33 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,1.281912000,1.338032000,10.468226000,nrp,Fri Dec  1 21:57:19 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,0.852172000,0.795161000,9.823754000,nrp,Fri Dec  1 21:57:30 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,0.776656000,0.580263000,9.973278000,nrp,Fri Dec  1 21:57:40 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,33.201645000,50.740466000,95.887682000,nrp,Fri Dec  1 21:58:49 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,19.255973000,26.343512000,58.173825000,nrp,Fri Dec  1 22:00:26 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,12.267610000,14.046849000,39.540787000,nrp,Fri Dec  1 22:01:24 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,69.130901000,91.899865000,177.974293000,nrp,Fri Dec  1 22:02:04 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,39.668408000,47.849134000,105.377887000,nrp,Fri Dec  1 22:05:03 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,23.533672000,25.389644000,67.525597000,nrp,Fri Dec  1 22:06:49 2023
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,water,0.447993000,,5.249875000,nrp,Wed Nov 29 22:36:04 2023
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,water,0.441071000,,5.319817000,nrp,Wed Nov 29 22:36:09 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,6.753792000,8.267314000,23.711588000,nrp,Fri Dec  1 22:32:26 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,4.147766000,4.564448000,17.757562000,nrp,Fri Dec  1 22:32:50 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,2.898137000,2.698587000,15.089929000,nrp,Fri Dec  1 22:33:08 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,1.287142000,1.336632000,10.564412000,nrp,Fri Dec  1 22:31:54 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,0.863497000,0.787048000,9.797013000,nrp,Fri Dec  1 22:32:05 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,0.782088000,0.577673000,9.994945000,nrp,Fri Dec  1 22:32:15 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,33.107761000,50.818803000,95.957835000,nrp,Fri Dec  1 22:33:24 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,19.266864000,26.317875000,58.237026000,nrp,Fri Dec  1 22:35:00 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,12.296609000,14.064398000,39.550812000,nrp,Fri Dec  1 22:35:59 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,69.230658000,91.949357000,178.319085000,nrp,Fri Dec  1 22:36:39 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,39.577166000,47.791005000,105.169222000,nrp,Fri Dec  1 22:39:38 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,23.572526000,25.430674000,67.671348000,nrp,Fri Dec  1 22:41:24 2023
NVIDIA-GeForce-GTX-1080-Ti,1,TRUE,water,0.447993000,,5.249875000,nrp,Wed Nov 29 22:36:04 2023
NVIDIA-GeForce-GTX-1080-Ti,2,TRUE,water,0.441071000,,5.319817000,nrp,Wed Nov 29 22:36:09 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,6.775800000,8.266085000,23.732670000,nrp,Mon Dec 11 19:13:22 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,4.146336000,4.565087000,17.933400000,nrp,Mon Dec 11 19:13:47 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,2.883543000,2.695089000,15.150175000,nrp,Mon Dec 11 19:14:05 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,1.264698000,1.343220000,10.425309000,nrp,Mon Dec 11 19:12:51 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,0.851861000,0.785033000,9.786892000,nrp,Mon Dec 11 19:13:02 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,0.821691000,0.580880000,10.077936000,nrp,Mon Dec 11 19:13:12 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,taxol,33.218616000,50.820309000,96.002668000,nrp,Mon Dec 11 19:14:21 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,taxol,19.306587000,26.335468000,58.254803000,nrp,Mon Dec 11 19:15:57 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,taxol,12.310470000,14.054446000,39.537761000,nrp,Mon Dec 11 19:16:56 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,valinomycin,69.266028000,91.982337000,178.174547000,nrp,Mon Dec 11 19:17:36 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,valinomycin,39.787643000,47.836504000,105.389422000,nrp,Mon Dec 11 19:20:35 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,valinomycin,23.563084000,25.404561000,67.550531000,nrp,Mon Dec 11 19:22:21 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,morphine,6.640442000,8.239106000,22.735277000,nrp,Fri Dec 15 16:46:09 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,morphine,4.146157000,4.568957000,16.880238000,nrp,Fri Dec 15 16:46:33 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,morphine,2.862720000,2.693221000,14.075378000,nrp,Fri Dec 15 16:46:50 2023
NVIDIA-A100-80GB-PCIe,1,TRUE,psb5,1.256692000,1.328969000,10.521143000,nrp,Fri Dec 15 16:45:39 2023
NVIDIA-A100-80GB-PCIe,2,TRUE,psb5,0.821767000,0.781289000,8.939805000,nrp,Fri Dec 15 16:45:50 2023
NVIDIA-A100-80GB-PCIe,4,TRUE,psb5,0.752837000,0.568389000,8.997502000,nrp,Fri Dec 15 16:46:00 2023
